date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:46	20/20	---M-Z	200	added ('OK')	text/plain	date:Wed,%2014%20Feb%202024%2009:56:44%20GMT	https://frenzzy.webflow.io/robots.txt		(from )
15:26:47	61396/61396	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:45%20GMT	https://frenzzy.webflow.io/	D:/Downloads/kriyeta/frenzzy.webflow.io/index.html	(from )
15:26:48	103576/103576	---M-Z	200	added ('OK')	text/css	etag:%2256c72ff9d6473c880ae3913cec4563bf%22	https://assets-global.website-files.com/6577019a915bb98abc733614/css/frenzzy.webflow.33adfbd80.css	D:/Downloads/kriyeta/assets-global.website-files.com/6577019a915bb98abc733614/css/frenzzy.webflow.33adfbd80.css	(from https://frenzzy.webflow.io/)
15:26:48	13188/13188	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/Downloads/kriyeta/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://frenzzy.webflow.io/)
15:26:48	2356/2356	---M--	200	added ('OK')	image/png	etag:%22679eec818cb7fd0e4890214041c20516%22	https://assets-global.website-files.com/6577019a915bb98abc733614/6578292bacaaaf778474bdda_favicon.png	D:/Downloads/kriyeta/assets-global.website-files.com/6577019a915bb98abc733614/6578292bacaaaf778474bdda_favicon.png	(from https://frenzzy.webflow.io/)
15:26:48	12227/12227	---M--	200	added ('OK')	image/png	etag:%2262e51ba979c2b09401ea4575ab8eac7d%22	https://assets-global.website-files.com/6577019a915bb98abc733614/6578292e454da728965cd378_webclip.png	D:/Downloads/kriyeta/assets-global.website-files.com/6577019a915bb98abc733614/6578292e454da728965cd378_webclip.png	(from https://frenzzy.webflow.io/)
15:26:50	4260/4260	---M--	200	added ('OK')	image/png	etag:%2275e0b9da9dda27a89770bcd0ff4987df%22	https://assets-global.website-files.com/6577019a915bb98abc733614/657863b7f0b946b4f8e8b45e_viber_image_2023-12-12_14-14-12-128.png	D:/Downloads/kriyeta/assets-global.website-files.com/6577019a915bb98abc733614/657863b7f0b946b4f8e8b45e_viber_image_2023-12-12_14-14-12-128.png	(from https://frenzzy.webflow.io/)
15:26:51	30632/30632	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:49%20GMT	https://frenzzy.webflow.io/about	D:/Downloads/kriyeta/frenzzy.webflow.io/about.html	(from https://frenzzy.webflow.io/)
15:26:52	38575/38575	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:50%20GMT	https://frenzzy.webflow.io/categories	D:/Downloads/kriyeta/frenzzy.webflow.io/categories.html	(from https://frenzzy.webflow.io/)
15:26:52	36669/36669	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:50%20GMT	https://frenzzy.webflow.io/blog	D:/Downloads/kriyeta/frenzzy.webflow.io/blog.html	(from https://frenzzy.webflow.io/)
15:26:52	36096/36096	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:50%20GMT	https://frenzzy.webflow.io/shop	D:/Downloads/kriyeta/frenzzy.webflow.io/shop.html	(from https://frenzzy.webflow.io/)
15:26:53	28969/28969	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:51%20GMT	https://frenzzy.webflow.io/contact	D:/Downloads/kriyeta/frenzzy.webflow.io/contact.html	(from https://frenzzy.webflow.io/)
15:26:54	79710/79710	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:52%20GMT	https://frenzzy.webflow.io/checkout	D:/Downloads/kriyeta/frenzzy.webflow.io/checkout.html	(from https://frenzzy.webflow.io/)
15:26:55	2328/2328	---M--	200	added ('OK')	image/png	etag:%22adbf2607322d81fcf1fa41ecdecdc184%22	https://assets-global.website-files.com/6577019a915bb98abc733614/65770624f4c813026b58f30c_search.png	D:/Downloads/kriyeta/assets-global.website-files.com/6577019a915bb98abc733614/65770624f4c813026b58f30c_search.png	(from https://frenzzy.webflow.io/)
15:26:55	32997/32997	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:53%20GMT	https://frenzzy.webflow.io/blog-categories/entertainment	D:/Downloads/kriyeta/frenzzy.webflow.io/blog-categories/entertainment.html	(from https://frenzzy.webflow.io/)
15:26:56	95375/95375	---M--	200	added ('OK')	image/jpeg	etag:%2246d8d2ee10e5b7e741cb0d43db1d9f1a%22	https://assets-global.website-files.com/65770570a2946a7c83492a9c/65782fe7dec1e4824058c1d2_post16.jpg	D:/Downloads/kriyeta/assets-global.website-files.com/65770570a2946a7c83492a9c/65782fe7dec1e4824058c1d2_post16.jpg	(from https://frenzzy.webflow.io/)
15:26:57	2066/2066	---M--	200	added ('OK')	image/png	etag:%22ace9432d8b3eefd2fe2f2dd3a3a7df70%22	https://assets-global.website-files.com/6577019a915bb98abc733614/657706245d964540c2260550_readmore.png	D:/Downloads/kriyeta/assets-global.website-files.com/6577019a915bb98abc733614/657706245d964540c2260550_readmore.png	(from https://frenzzy.webflow.io/)
15:26:57	32987/32987	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:55%20GMT	https://frenzzy.webflow.io/blog-categories/nature	D:/Downloads/kriyeta/frenzzy.webflow.io/blog-categories/nature.html	(from https://frenzzy.webflow.io/)
15:26:58	105598/105598	---M--	200	added ('OK')	image/jpeg	etag:%22cbfe12f0ab4a1ee420e897ce4b5ee486%22	https://assets-global.website-files.com/65770570a2946a7c83492a9c/6578309e6326b68e4a349b77_post21.jpg	D:/Downloads/kriyeta/assets-global.website-files.com/65770570a2946a7c83492a9c/6578309e6326b68e4a349b77_post21.jpg	(from https://frenzzy.webflow.io/)
15:26:59	31611/31611	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:57%20GMT	https://frenzzy.webflow.io/blog-categories/gaming	D:/Downloads/kriyeta/frenzzy.webflow.io/blog-categories/gaming.html	(from https://frenzzy.webflow.io/)
15:27:00	86336/86336	---M--	200	added ('OK')	image/jpeg	etag:%22016394cce3b833e164b602f3f077411e%22	https://assets-global.website-files.com/65770570a2946a7c83492a9c/657830e615a9a61836170fe6_post24.jpg	D:/Downloads/kriyeta/assets-global.website-files.com/65770570a2946a7c83492a9c/657830e615a9a61836170fe6_post24.jpg	(from https://frenzzy.webflow.io/)
15:27:01	33148/33148	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:56:59%20GMT	https://frenzzy.webflow.io/blog-categories/business	D:/Downloads/kriyeta/frenzzy.webflow.io/blog-categories/business.html	(from https://frenzzy.webflow.io/)
15:27:02	106362/106362	---M--	200	added ('OK')	image/jpeg	etag:%2263a248e46a79c90a36ea29f84f9724ad%22	https://assets-global.website-files.com/65770570a2946a7c83492a9c/6578310098806a00be591e26_post25.jpg	D:/Downloads/kriyeta/assets-global.website-files.com/65770570a2946a7c83492a9c/6578310098806a00be591e26_post25.jpg	(from https://frenzzy.webflow.io/)
15:27:02	32905/32905	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:57:00%20GMT	https://frenzzy.webflow.io/blog-categories/science	D:/Downloads/kriyeta/frenzzy.webflow.io/blog-categories/science.html	(from https://frenzzy.webflow.io/)
15:27:03	37205/37205	---M--	200	added ('OK')	image/jpeg	etag:%22e4d7190adeab33d2ee275a073b4aac0c%22	https://assets-global.website-files.com/65770570a2946a7c83492a9c/657773b343693d77d17d1a02_post1.jpg	D:/Downloads/kriyeta/assets-global.website-files.com/65770570a2946a7c83492a9c/657773b343693d77d17d1a02_post1.jpg	(from https://frenzzy.webflow.io/)
15:27:04	32350/32350	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2009:57:02%20GMT	https://frenzzy.webflow.io/blog-categories/education	D:/Downloads/kriyeta/frenzzy.webflow.io/blog-categories/education.html	(from https://frenzzy.webflow.io/)
15:27:05	119921/119921	---M--	200	added ('OK')	image/jpeg	etag:%22f6b5e4c15b19ba94044852cc154b4eed%22	https://assets-global.website-files.com/65770570a2946a7c83492a9c/65782f566d667c772c700afb_post11.jpg	D:/Downloads/kriyeta/assets-global.website-files.com/65770570a2946a7c83492a9c/65782f566d667c772c700afb_post11.jpg	(from https://frenzzy.webflow.io/)
